[03-13 19:30:37] User: 1mperfect | Command: playlistrandom
[03-13 19:33:32] User: 1mperfect | Command: playlistrandom
[03-13 20:47:05] User: 1mperfect | Command: playlistrandom
[03-13 20:47:13] User: 1mperfect | Command: playlistrandom
[03-13 20:47:20] User: 1mperfect | Command: playlistrandom
[03-13 23:40:24] User: 1mperfect | Command: playlistrandom
[03-14 10:21:51] User: 1mperfect | Command: botinfo
[03-14 10:23:39] User: 1mperfect | Command: playlistrandom
[03-14 10:23:56] User: 1mperfect | Command: playlistrandom
[03-14 10:25:30] User: 1mperfect | Command: playlistrandom
[03-14 10:27:45] User: 1mperfect | Command: help
[03-14 10:28:09] User: 1mperfect | Command: randomrolequeue
[03-14 10:30:56] User: 1mperfect | Command: dadjoke
[03-14 10:31:46] User: 1mperfect | Command: randomowcharacter
[03-14 11:02:25] User: 1mperfect | Command: reload
[03-14 11:02:28] User: 1mperfect | Command: randomrolequeue
[03-14 11:02:36] User: 1mperfect | Command: randomowcharacter
[03-14 11:05:43] User: 1mperfect | Command: reload
[03-14 11:05:48] User: 1mperfect | Command: randomowcharacter
[03-14 11:10:33] User: 1mperfect | Command: randomrolequeue
[03-14 11:49:56] User: 1mperfect | Command: reload
[03-14 11:50:02] User: 1mperfect | Command: randomrolequeue
[03-14 11:50:19] User: 1mperfect | Command: randomowcharacter
[03-14 11:51:43] User: 1mperfect | Command: reload
[03-14 11:51:47] User: 1mperfect | Command: randomowcharacter
[03-14 11:52:14] User: 1mperfect | Command: randomowcharacter
[03-14 11:54:32] User: 1mperfect | Command: reload
[03-14 11:54:35] User: 1mperfect | Command: randomrolequeue
[03-14 11:55:12] User: 1mperfect | Command: reload
[03-14 11:55:17] User: 1mperfect | Command: randomrolequeue
[03-14 11:55:52] User: 1mperfect | Command: randomrolequeue
[03-14 11:56:17] User: 1mperfect | Command: reload
[03-14 11:56:22] User: 1mperfect | Command: randomrolequeue
[03-14 12:15:09] User: 1mperfect | Command: randomrolequeue
[03-14 13:45:23] User: 1mperfect | Command: botinfo
[03-14 14:00:30] User: 1mperfect | Command: playlistrandom
